qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NW_026262734.1_cds_XP_052072560.1_45364	58.840	362	141	2	97	458	100	1161	3.93e-157	452
sp|A0A0B4K7J2|RBP2_DROME	lcl|NW_026262701.1_cds_XP_052061863.1_33213	37.088	364	166	12	1535	1846	3580	4638	7.74e-43	175
sp|A0A0G2JZ79|SIR1_RAT	lcl|NW_026262723.1_cds_XP_052068474.1_42035	73.115	305	81	1	1	304	286	1200	3.08e-161	481
sp|A0A0G2K344|PK3CA_RAT	lcl|NW_026262593.1_cds_XP_052082117.1_8108	52.731	1062	480	10	5	1063	7	3135	0.0	1179
sp|A0A178VEK7|DUO1_ARATH	lcl|NW_026262712.1_cds_XP_052065173.1_37800	51.429	105	49	2	10	114	277	585	1.23e-25	107
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NW_026262679.1_cds_XP_052102055.1_25725	38.387	310	168	4	48	356	43	906	5.20e-65	215
sp|A0AVF1|IFT56_HUMAN	lcl|NW_026262723.1_cds_XP_052067948.1_41547	79.640	555	112	1	1	554	1	1665	0.0	929
sp|A0MLS5|BMAL1_HORSE	lcl|NW_026262712.1_cds_XP_052067374.1_38951	51.299	616	252	16	36	626	25	1803	0.0	581
sp|A1Z6E0|GUS_DROME	lcl|NW_026262593.1_cds_XP_052081500.1_7383	68.929	280	81	4	1	277	7	837	1.24e-146	413
sp|A1Z7Z9|CP131_DROME	lcl|NW_026262697.1_cds_XP_052059387.1_32080	26.632	582	363	9	580	1107	1453	3168	8.30e-38	155
sp|A1Z8D0|PWP1_DROME	lcl|NW_026262626.1_cds_XP_052087690.1_13002	40.798	326	186	4	130	453	382	1344	4.30e-85	271
sp|A1Z8P9|TPR_DROME	lcl|NW_026262581.1_cds_XP_052073508.1_4193	26.212	1877	1103	45	3	1701	1	5319	7.43e-98	355
sp|A1Z9E2|LIN54_DROME	lcl|NW_026262723.1_cds_XP_052070274.1_41701	48.261	230	99	4	728	939	1627	2310	2.39e-45	177
sp|A1Z9L3|DHX8_DROME	lcl|NW_026262668.1_cds_XP_052091856.1_19188	77.536	966	202	7	281	1240	823	3693	0.0	1471
sp|A1Z9X0|APKC_DROME	lcl|NW_026262593.1_cds_XP_052083238.1_9244	67.241	580	185	2	29	606	31	1761	0.0	803
sp|A1ZAC4|KRIMP_DROME	lcl|NW_026262581.1_cds_XP_052095616.1_93	23.792	269	163	8	483	713	3565	4359	3.50e-12	71.6
sp|A2A6C4|SPP2C_MOUSE	lcl|NW_026262700.1_cds_XP_052059535.1_32204	34.301	551	322	14	40	574	124	1704	1.06e-80	268
sp|A2A8L1|CHD5_MOUSE	lcl|NW_026262680.1_cds_XP_052102884.1_26538	65.641	1202	346	13	336	1531	973	4395	0.0	1467
sp|A2AAE1|BLTP1_MOUSE	lcl|NW_026262745.1_cds_XP_052078163.1_46821	40.829	1134	605	21	1	1119	16	3264	0.0	869
sp|A2AG06|MEIOC_MOUSE	lcl|NW_026262668.1_cds_XP_052091382.1_18115	57.592	191	77	3	730	917	1618	2187	1.19e-60	222
sp|A2AKX3|SETX_MOUSE	lcl|NW_026262626.1_cds_XP_052087239.1_12589	29.696	889	489	36	1620	2431	5386	7875	1.01e-74	280
sp|A2AL36|CNTRL_MOUSE	lcl|NW_026262668.1_cds_XP_052093413.1_16621	35.157	859	531	8	78	925	241	2772	1.34e-124	442
sp|A2AM05|CNTLN_MOUSE	lcl|NW_026262679.1_cds_XP_052101259.1_24917	28.203	1358	805	36	119	1391	85	3903	1.31e-83	301
sp|A2APF3|CTCFL_MOUSE	lcl|NW_026262701.1_cds_XP_052061079.1_34378	50.737	339	160	3	239	572	1261	2271	1.83e-108	351
sp|A2ARI4|LGR4_MOUSE	lcl|NW_026262712.1_cds_XP_052065333.1_37690	33.689	843	497	5	39	819	133	2661	1.92e-137	445
sp|A2AU37|RD21L_MOUSE	lcl|NW_026262615.1_cds_XP_052085582.1_11036	41.294	402	179	9	1	347	1	1200	5.58e-73	246
