"gene","branch_score_difference"
"A1Z9L3",9.25448187332199
"A1Z9X0",10.0456253981567
"A4IFD8",9.47679539558656
"A4PES0",7.62497935517576
"A5PK71",10.1237131092228
"A7X8B7",9.78839746071027
"A8WZ92",8.5174661967371
"B2RW38",10.0718472212576
"D2HHP1",8.03198940098153
"D3K5L7",9.83629399141228
"D5MCN2",7.37531149913054
"E1C6Q1",9.83629399141228
"E2R222",9.83629396178715
"E2RSS3",8.0402322104827
"E9Q8T7",7.74345804459131
"F1M5F3",9.61646986056277
"F1N2W9",9.61646986056277
"O01798",8.25133459701107
"O15945",7.36038152084984
"O18334",10.1440612893664
"O43524",8.91749169000102
"O54689",9.60137833998734
"O95922",10.1227740371953
"P05480",9.54478192737752
"P06186",9.64215824321729
"P06401",9.76865883915838
"P07812",8.11662110369419
"P08630",8.08718167157112
"P09760",8.43071013490654
"P0C1S8",7.61643561943992
"P16591",8.86888497362148
"P17210",10.0010741612194
"P22700",10.1662217013288
"P34540",10.0022091218498
"P35071",8.72654351005224
"P39745",9.96403546116488
"P43246",8.0285290669975
"P43247",8.0285290669975
"P51684",13.6266537841723
"P63170",13.0311655673265
"P70451",7.82621435044873
"P79386",11.8543851794224
"P91926",10.4771135267331
"Q00175",9.74411915073501
"Q00555",8.70807340470186
"Q07327",9.8977377900397
"Q07DW5",8.64422958679147
"Q09530",9.12316906856516
"Q09YJ4",8.72847732013444
"Q0VC71",10.1687285591385
"Q14432",8.29445233197761
"Q15645",9.86124712519677
"Q24117",10.0242631891321
"Q24573",7.89605979365456
"Q2KHI9",9.61646986056277
"Q2QLH0",8.72575254387128
"Q3UA06",9.83629399141228
"Q3UIK4",9.45683250834756
"Q5PPI9",10.1687334352752
"Q5R5N4",9.49175030747267
"Q5RA66",8.5731316391281
"Q5T655",9.87489778611692
"Q5XHZ9",9.83629399141228
"Q5ZK35",9.42159908551507
"Q5ZLK1",9.99842420352497
"Q62865",9.53751286132537
"Q63164",7.70056155549776
"Q63449",8.51527658433297
"Q63686",7.73164037830412
"Q66JT0",7.62500759865622
"Q66KJ9",9.46073023573915
"Q6NU56",9.5256654061506
"Q6P4W8",8.60891067056649
"Q6PAC3",8.8086764792722
"Q6PH52",9.860124504507
"Q78Y63",9.84875709485816
"Q7M753",10.8623867619302
"Q84M92",9.74620987228524
"Q8BH60",10.023564206666
"Q8BHD1",9.86278550239773
"Q8JZX3",9.87795018613274
"Q8N4E4",9.84875709485816
"Q8N7X0",7.64061573123834
"Q8TC44",9.86278550239773
"Q91V51",10.1735608875651
"Q921E6",9.97966795086761
"Q96JN8",9.64589036829086
"Q96M69",10.163453599192
"Q9BZ23",10.8623867619302
"Q9D5S7",10.1625323225146
"Q9DAK2",10.2768198572635
"Q9HCE5",9.46462081150321
"Q9NXL9",9.61646986056277
"Q9P2D7",7.73560057942918
"Q9V853",8.23612352332865
"Q9W0V1",7.76807462705328
"Q9WUD9",9.53409810401026
"Q9WUT3",9.70639411299286
"Q9WVH4",8.91749169000102
"Q9XYP7",10.0708239501825
"Q9XYP8",9.86442690685758
"Q9Z0X4",9.53751286132537
"V6CIV8",7.87798519704189
